year,state,region,division,population,enslaved_population,urban_population,labor_force,labor_force_agricultural,labor_force_enslaved,gdp_per_capita,gdp,agriculture,agriculture_crops_and_livestock,agriculture_crops_and_livestock_livestock_and_feed_crops,agriculture_crops_and_livestock_food_grains,agriculture_crops_and_livestock_cotton,agriculture_crops_and_livestock_other,agriculture_farm_improvments,construction,mining,manufacturing,manufacturing_factory,manufacturing_home,services,services_trade,services_transportation_and_public_utilities,services_finance,services_professional,services_personal,services_government,services_education,services_hand_trades,services_shelter,easterlin_1957,easterlin_1960,klein,wealth
1849,Massachusetts,1,1,"994,514",0,"503,861","368,100","68,528",NA,191.560,190.509222,11.628203,11.628203,6.692285,0.281468,0.000000,4.654450,0.000000,20.091612,3.380621,70.346007,69.263091,1.082915,85.062779,34.543506,16.985249,3.050882,5.871458,2.723879,2.252022,1.040924,2.841495,15.753365,NA,NA,NA,NA
1849,Michigan,2,3,"397,654",0,"29,025","121,900","79,832",NA,82.080,32.639289,10.620158,9.573112,5.066091,2.668903,0.000000,1.838118,1.047046,2.904152,0.083225,6.647100,4.848963,1.798136,12.384655,3.868902,0.674403,0.000000,1.312687,0.286838,0.505041,0.000000,0.651397,5.085386,NA,NA,NA,NA
1849,Minnesota,2,4,"6,077",0,0,"2,400",984,NA,146.927,0.892876,0.098115,0.040247,0.022072,0.000801,0.000000,0.017374,0.057867,0.000000,0.000000,0.032759,0.032759,0.000000,0.762002,0.125483,0.087494,0.000000,0.113534,0.000000,0.314503,0.000000,0.000000,0.120989,NA,NA,NA,NA
1849,Mississippi,3,6,"606,526","309,878","10,723","280,200","221,107","188,900",110.162,66.816061,43.354652,40.471234,15.445102,0.110825,17.767726,7.147581,2.883418,1.529348,0.027945,7.715545,1.576566,6.138979,14.188570,3.045478,0.242683,0.000000,1.968202,2.892027,0.545214,0.604818,0.366894,4.523253,NA,NA,NA,NA
1849,Missouri,2,4,"682,044","87,422","80,558","221,000","152,173","51,900",112.274,76.575855,26.980266,24.630094,15.688085,1.541411,0.000000,7.400598,2.350172,4.105093,1.274166,19.937628,11.105323,8.832304,24.278702,8.449484,2.825979,0.233248,2.237535,1.397405,1.205210,0.557070,0.796545,6.576226,NA,NA,NA,NA
1849,Montana,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Nebraska,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Nevada,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,New Hampshire,1,1,"317,976",0,"54,327","113,700","54,631",0,120.085,38.184012,9.005001,9.005001,5.946045,0.265236,0.000000,2.793720,0.000000,4.728101,0.216314,12.113766,10.038706,2.075061,12.120830,3.749831,1.079939,0.276787,1.548872,0.483497,0.306468,0.047218,0.515582,4.112636,NA,NA,NA,NA
1849,New Jersey,1,2,"489,555",236,"86,195","149,200","62,040",NA,133.115,65.166975,16.271925,16.129488,8.909001,2.199912,0.000000,5.020575,0.142437,6.233302,0.772429,17.782984,17.188183,0.594801,24.106335,9.349846,3.484416,0.547355,1.896104,0.478064,0.303024,0.373502,1.416081,6.257943,NA,NA,NA,NA
1849,New Mexico,4,8,"61,547",0,"4,539","19,400","12,991",NA,48.327,2.974412,0.804105,0.534542,0.297283,0.152476,0.000000,0.084783,0.269563,0.127982,0.000000,0.165541,0.133724,0.031818,1.876783,0.194178,0.000000,0.000000,0.000000,0.748605,0.425841,0.000000,0.034115,0.474044,NA,NA,NA,NA
1849,New York,1,2,"3,097,394",0,"904,194","1,036,300","433,477",NA,136.295,422.159336,88.012015,88.012015,55.489996,13.734541,0.000000,18.787478,0.000000,41.582176,6.178305,105.936241,99.183833,6.752407,180.450600,77.652819,20.576956,7.277332,12.157275,6.453866,5.061884,1.432465,9.326823,40.511180,NA,NA,NA,NA
1849,North Carolina,3,5,"869,039","288,548","21,109","347,900","272,805","170,600",67.853,58.966972,30.573577,29.544056,18.342557,1.739256,2.533913,6.928330,1.029522,0.956245,1.333442,15.348176,4.343971,11.004205,10.755532,1.978416,0.482811,0.000000,0.716011,1.496002,0.371894,0.372441,0.556134,4.781823,NA,NA,NA,NA
1849,North Dakota,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Ohio,2,3,"1,980,329",0,"242,418","583,100","360,184",NA,91.234,180.673750,55.193189,52.618265,35.093690,8.703279,0.000000,8.821296,2.574923,18.081727,3.838574,36.021669,26.991639,9.030030,67.538591,23.504678,4.981386,2.910933,6.140791,1.440711,0.805769,1.365616,3.941210,22.447495,NA,NA,NA,NA
1849,Oklahoma,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Oregon,4,9,"12,093",NA,0,"4,900","2,683",NA,520.270,6.291619,1.120265,0.563445,0.058914,0.164445,0.000000,0.340086,0.556820,1.609840,0.000000,1.374986,1.374986,0.000000,2.186527,0.457967,0.319320,0.000000,0.000000,0.000000,0.000000,0.530543,0.000000,0.878699,NA,NA,NA,NA
1849,Pennsylvania,1,2,"2,311,786",0,"544,654","717,100","290,256",NA,117.608,271.885147,62.291026,60.342218,34.494005,14.903617,0.000000,10.944596,1.948808,28.526371,21.956997,69.313069,65.362187,3.950882,89.797685,35.464935,7.510397,2.487977,5.303787,2.868385,1.652860,1.273302,6.359490,26.876552,NA,NA,NA,NA
